iter	RMSE
0	4466.531654
1	4319.195292
2	4170.08742
3	4033.106121
4	3909.533293
5	3788.877185
6	3677.579526
7	3585.971555
8	3499.642496
9	3408.960297
10	3329.401817
11	3258.430658
12	3188.973273
13	3126.651937
14	3064.809274
15	3011.973803
16	2960.095329
17	2917.553218
18	2874.49849
19	2834.785507
20	2794.176211
21	2760.779223
22	2726.873348
23	2695.379044
24	2670.86057
25	2647.450113
26	2623.671617
27	2602.112849
28	2577.739445
29	2557.023965
30	2539.985094
31	2521.297346
32	2506.602021
33	2493.387396
34	2481.947619
35	2468.991009
36	2453.540642
37	2442.013043
38	2429.234797
39	2421.073681
40	2411.286732
41	2399.068302
42	2389.506628
43	2378.059615
44	2367.053471
45	2361.299493
46	2350.924482
47	2340.583554
48	2334.996257
49	2324.445411
50	2317.785645
51	2311.583415
52	2305.183148
53	2301.771218
54	2297.561502
55	2289.311436
56	2284.780676
57	2277.124533
58	2271.061293
59	2265.257929
60	2259.496989
61	2252.364767
62	2248.055461
63	2240.389851
64	2236.0814
65	2231.089227
66	2222.193887
67	2218.703535
68	2215.414633
69	2212.285273
70	2205.340633
71	2199.518069
72	2195.104881
73	2193.199321
74	2190.308166
75	2188.005398
76	2183.687824
77	2178.145008
78	2175.151127
79	2171.663523
80	2169.331079
81	2167.062741
82	2164.192124
83	2159.445199
84	2156.882484
85	2152.884261
86	2150.846441
87	2147.348139
88	2145.084741
89	2141.06161
90	2138.622536
91	2134.640793
92	2130.620489
93	2126.873095
94	2124.301631
95	2123.056285
96	2120.321683
97	2117.290476
98	2112.186806
99	2107.531146
100	2102.651089
101	2100.056619
102	2097.361479
103	2094.108227
104	2090.57515
105	2087.90662
106	2084.37112
107	2082.320579
108	2078.176266
109	2075.213686
110	2073.969852
111	2071.145412
112	2069.336415
113	2066.70482
114	2065.212446
115	2062.525839
116	2059.39318
117	2055.914937
118	2051.617122
119	2049.471502
120	2047.157587
121	2044.092651
122	2040.419026
123	2036.613274
124	2035.906762
125	2032.59189
126	2031.540403
127	2029.980577
128	2026.631027
129	2024.520539
130	2022.253621
131	2018.927449
132	2016.083214
133	2014.731474
134	2009.873931
135	2008.877576
136	2006.266196
137	2003.127887
138	2001.077684
139	1998.316468
140	1996.196151
141	1993.402851
142	1991.588338
143	1987.988162
144	1985.977911
145	1984.040338
146	1982.311752
147	1980.521203
148	1977.645327
149	1976.910866
150	1974.237591
151	1971.080309
152	1968.224492
153	1965.314225
154	1962.109423
155	1960.105266
156	1957.739567
157	1956.219208
158	1953.806182
159	1952.769733
160	1951.101288
161	1948.649207
162	1945.113318
163	1942.722801
164	1940.907362
165	1938.046017
166	1935.32864
167	1932.95458
168	1931.612444
169	1929.530751
170	1927.496322
171	1925.466938
172	1924.320034
173	1922.715446
174	1920.958997
175	1919.1457
176	1918.106952
177	1916.221451
178	1913.512452
179	1911.480043
180	1909.395757
181	1908.413561
182	1906.549189
183	1904.614716
184	1903.713589
185	1902.401122
186	1901.071789
187	1899.640787
188	1898.557787
189	1897.222516
190	1895.203394
191	1893.490819
192	1893.072966
193	1891.409919
194	1890.67533
195	1889.761265
196	1889.051678
197	1887.975683
198	1886.585313
199	1885.267013
200	1884.917165
201	1883.016325
202	1881.513026
203	1879.911592
204	1878.202462
205	1876.549194
206	1875.791262
207	1874.897541
208	1874.483211
209	1873.068711
210	1871.701093
211	1870.300429
212	1869.527289
213	1867.37221
214	1867.068432
215	1865.167037
216	1863.211049
217	1862.909819
218	1861.521982
219	1860.125788
220	1856.466711
221	1855.468408
222	1854.239149
223	1853.281251
224	1851.390607
225	1850.982597
226	1847.540204
227	1846.744937
228	1844.391386
229	1844.053167
230	1843.593967
231	1841.318285
232	1839.488828
233	1839.095344
234	1837.481558
235	1837.298792
236	1834.115867
237	1833.99694
238	1832.235622
239	1830.633239
240	1828.276914
241	1828.150844
242	1827.746409
243	1825.133708
244	1823.545569
245	1821.213901
246	1819.558254
247	1818.135125
248	1816.251876
249	1816.212699
250	1814.324185
251	1812.17013
252	1812.034377
253	1810.728819
254	1810.641417
255	1808.916149
256	1807.004023
257	1805.530402
258	1805.442957
259	1805.101194
260	1804.968481
261	1802.95389
262	1802.560603
263	1801.371879
264	1800.754975
265	1799.761119
266	1798.443851
267	1797.126249
268	1795.505809
269	1794.97472
270	1793.902052
271	1792.765198
272	1791.844177
273	1790.086426
274	1789.87892
275	1789.809768
276	1788.088842
277	1787.514235
278	1787.486469
279	1785.883241
280	1784.61821
281	1784.485763
282	1784.460207
283	1783.052453
284	1781.549873
285	1781.021854
286	1778.721483
287	1777.558295
288	1775.919142
289	1774.893765
290	1773.90388
291	1773.587187
292	1772.502334
293	1770.938353
294	1769.912116
295	1767.908732
296	1767.552962
297	1767.361089
298	1766.112042
299	1764.978449
300	1763.35745
301	1762.278907
302	1760.960372
303	1760.780693
304	1759.802453
305	1757.968684
306	1756.812049
307	1755.614717
308	1755.336091
309	1754.296942
310	1752.860873
311	1751.428175
312	1749.847353
313	1749.695214
314	1749.131717
315	1747.86352
316	1746.119215
317	1745.908184
318	1745.590159
319	1745.576556
320	1744.103102
321	1742.886626
322	1741.827396
323	1740.862419
324	1739.226335
325	1738.295108
326	1737.899412
327	1737.289184
328	1736.258935
329	1735.425619
330	1735.294633
331	1734.532324
332	1732.640498
333	1732.528295
334	1731.424197
335	1729.966805
336	1729.177987
337	1729.08521
338	1728.148209
339	1726.778389
340	1726.254759
341	1724.943424
342	1724.930922
343	1723.325845
344	1722.428777
345	1721.341487
346	1720.20143
347	1719.639006
348	1718.314087
349	1717.339427
350	1716.475058
351	1714.730207
352	1713.962407
353	1711.896639
354	1710.060039
