iter	Passed	Remaining
0	64	64581
1	66	33279
2	68	22785
3	70	17518
4	72	14356
5	73	12245
6	75	10727
7	77	9598
8	79	8742
9	81	8061
10	83	7478
11	84	6992
12	86	6582
13	88	6257
14	90	5972
15	92	5700
16	94	5466
17	97	5323
18	99	5131
19	101	4962
20	103	4813
21	105	4684
22	107	4558
23	109	4439
24	111	4338
25	113	4249
26	115	4154
27	117	4066
28	119	3986
29	120	3911
30	122	3843
31	124	3778
32	126	3715
33	128	3656
34	130	3603
35	132	3550
36	134	3498
37	136	3449
38	138	3403
39	140	3361
40	141	3318
41	143	3279
42	145	3241
43	147	3204
44	149	3169
45	151	3137
46	153	3103
47	154	3073
48	156	3045
49	158	3013
50	160	2986
51	162	2960
52	164	2935
53	165	2908
54	167	2882
55	169	2855
56	171	2833
57	173	2811
58	174	2790
59	176	2768
60	178	2746
61	180	2728
62	182	2710
63	184	2692
64	186	2676
65	187	2656
66	189	2638
67	191	2625
68	193	2609
69	195	2591
70	196	2574
71	198	2562
72	200	2546
73	202	2531
74	204	2520
75	206	2508
76	208	2495
77	209	2481
78	211	2469
79	213	2458
80	215	2450
81	217	2438
82	219	2427
83	221	2418
84	223	2406
85	225	2397
86	227	2387
87	229	2381
88	231	2371
89	233	2361
90	235	2351
91	237	2341
92	239	2333
93	241	2327
94	243	2322
95	245	2314
96	247	2304
97	249	2298
98	251	2290
99	253	2282
100	255	2276
101	257	2268
102	259	2260
103	261	2254
104	263	2246
105	265	2239
106	267	2230
107	268	2221
108	270	2214
109	272	2207
110	274	2202
111	276	2195
112	278	2189
113	280	2182
114	282	2175
115	284	2168
116	286	2161
117	288	2157
118	290	2152
119	292	2145
120	294	2139
121	296	2132
122	298	2126
123	300	2120
124	302	2115
125	304	2112
126	306	2107
127	308	2101
128	310	2095
129	312	2089
130	314	2083
131	315	2077
132	317	2072
133	320	2068
134	322	2063
135	323	2055
136	325	2051
137	327	2047
138	329	2042
139	331	2037
140	333	2034
141	336	2031
142	338	2026
143	339	2020
144	342	2018
145	344	2013
146	346	2008
147	348	2004
148	350	2003
149	352	1997
150	354	1993
151	356	1988
152	358	1983
153	360	1981
154	362	1977
155	364	1973
156	367	1971
157	369	1967
158	371	1963
159	373	1958
160	375	1954
161	377	1951
162	379	1947
163	381	1943
164	383	1939
165	385	1935
166	387	1932
167	389	1927
168	391	1923
169	393	1921
170	395	1918
171	397	1914
172	399	1910
173	401	1907
174	404	1905
175	406	1902
176	408	1899
177	410	1896
178	412	1893
179	414	1890
180	416	1886
181	419	1883
182	421	1880
183	423	1876
184	425	1872
185	426	1868
186	428	1864
187	430	1860
188	432	1856
189	434	1852
190	436	1848
191	438	1844
192	440	1839
193	441	1835
194	443	1832
195	445	1827
196	447	1824
197	450	1822
198	452	1819
199	454	1816
200	456	1812
201	458	1810
202	460	1807
203	462	1805
204	464	1801
205	466	1798
206	468	1794
207	470	1790
208	472	1786
209	474	1783
210	476	1780
211	478	1776
212	479	1772
213	481	1768
214	483	1763
215	484	1759
216	486	1755
217	488	1751
218	490	1747
219	492	1744
220	493	1741
221	495	1738
222	497	1734
223	499	1731
224	501	1727
225	503	1724
226	505	1721
227	507	1718
228	509	1715
229	511	1711
230	513	1707
231	515	1705
232	516	1701
233	518	1698
234	521	1696
